ID;Находится в реестре МСП;Размер компании.Наименование;Размер уставного капитала объявленный;ОКВЭД2.Наименование;ОКВЭД2.Код;Численность персонала по данным ФНС.Количество;Город фактический;Город юридический;ЕЛС действующий;Грузоотправитель;Грузополучатель;Карточка клиента (внешний источник).Индекс платежной дисциплины Описание;Карточка клиента (внешний источник).Индекс платежной дисциплины Значение;Карточка клиента (внешний источник).Индекс финансового риска Описание;Карточка клиента (внешний источник).Индекс финансового риска Значение;Госконтракты.Контракт;Госконтракты.Тип контракта
1;Нет;;;;;;Александров;Александров;          ;Нет;Нет;;;;;;
2;Нет;;;;;;Бараки,  Судогодского р-на;Бараки;          ;Нет;Нет;;;;;;
3;Нет;;;;;;Кольчугино;Кольчугино;;Нет;Нет;;;;;;
4;Нет;;;;;;Радужный;Радужный;;Нет;Нет;;;;;;
5;Нет;;;;;;г.Владимир;г.Владимр;;Нет;Нет;;;;;;
6;Нет;;;;;;Вязники;Вязники;;Нет;Нет;;;;;;
7;Нет;;;;;;Александров;Александров;;Нет;Нет;;;;;;
8;Нет;;;;;;Александров;Александров;          ;Нет;Нет;;;;;;
9;Нет;Микробизнес;;Деятельность по складированию и хранению;52.10;5;Ковров;г. Ковров;1003145611;Да;Да;;;Низкий риск;27;;
9;Нет;Микробизнес;;Деятельность по складированию и хранению;52.10;6;Ковров;г. Ковров;1003145611;Да;Да;;;Низкий риск;27;;
9;Нет;Микробизнес;;Деятельность по складированию и хранению;52.10;8;Ковров;г. Ковров;1003145611;Да;Да;;;Низкий риск;27;;
9;Нет;Микробизнес;;Деятельность по складированию и хранению;52.10;10;Ковров;г. Ковров;1003145611;Да;Да;;;Низкий риск;27;;
9;Нет;Микробизнес;;Деятельность по складированию и хранению;52.10;12;Ковров;г. Ковров;1003145611;Да;Да;;;Низкий риск;27;;
9;Нет;Микробизнес;;Деятельность по складированию и хранению;52.10;18;Ковров;г. Ковров;1003145611;Да;Да;;;Низкий риск;27;;
10;Да;Микробизнес;2 490;Ремонт машин и оборудования;33.12;;Юрьев-Польский;г. Юрьев-Польский;;Нет;Нет;;;Средний риск;34;;
10;Да;Микробизнес;2 490;Ремонт машин и оборудования;33.12;1;Юрьев-Польский;г. Юрьев-Польский;;Нет;Нет;;;Средний риск;34;;
10;Да;Микробизнес;2 490;Ремонт машин и оборудования;33.12;2;Юрьев-Польский;г. Юрьев-Польский;;Нет;Нет;;;Средний риск;34;;
10;Да;Микробизнес;2 490;Ремонт машин и оборудования;33.12;4;Юрьев-Польский;г. Юрьев-Польский;;Нет;Нет;;;Средний риск;34;;
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;183;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка бетонных блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;183;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;183;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;183;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных.;Исполнитель
