,ID,Находится в реестре МСП,Размер компании.Наименование,Размер уставного капитала объявленный,ОКВЭД2.Наименование,ОКВЭД2.Код,Численность персонала по данным ФНС.Количество,Город фактический,Город юридический,ЕЛС действующий,Грузоотправитель,Грузополучатель,Карточка клиента (внешний источник).Индекс платежной дисциплины Описание,Карточка клиента (внешний источник).Индекс платежной дисциплины Значение,Карточка клиента (внешний источник).Индекс финансового риска Описание,Карточка клиента (внешний источник).Индекс финансового риска Значение,Госконтракты.Контракт,Госконтракты.Тип контракта
0,864,0,1,254220886,94,44762,497,31,36,0,0,0,1,92,1,26,4904,0
1,865,0,1,254220886,94,44762,497,39,45,0,0,0,1,92,1,26,4904,0
2,866,0,1,254220886,94,44762,497,93,131,0,0,1,1,92,1,26,4904,0
3,867,0,1,254220886,94,44762,497,280,83,0,0,0,1,92,1,26,4904,0
4,868,0,1,254220886,94,44762,497,93,131,0,0,0,1,92,1,26,4904,0
5,869,0,1,254220886,94,44762,497,120,149,0,0,0,1,92,1,26,4904,0
6,870,0,1,254220886,94,44762,497,93,131,0,0,1,1,92,1,26,4904,0
7,871,0,1,254220886,94,44762,497,93,131,0,0,0,1,92,1,26,4904,0
8,872,0,1,254220886,94,44762,497,203,221,0,0,0,1,92,1,26,4904,0
9,873,0,1,254220886,94,44762,497,300,362,0,0,0,1,92,1,26,4904,0
10,874,0,1,254220886,94,44762,497,93,131,0,0,0,1,92,1,26,4904,0
11,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,2005,1
12,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,2495,1
13,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,2880,1
14,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,3360,1
15,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,4766,1
16,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,4767,1
17,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,4813,1
18,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,4899,1
19,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,5010,1
20,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,5717,1
21,875,1,3,583125,132,4690,99,93,58,1,1,1,1,97,2,6,5814,1
