,ID,Находится в реестре МСП,Размер компании.Наименование,Размер уставного капитала объявленный,ОКВЭД2.Наименование,ОКВЭД2.Код,Численность персонала по данным ФНС.Количество,Город фактический,Город юридический,ЕЛС действующий,Грузоотправитель,Грузополучатель,Карточка клиента (внешний источник).Индекс платежной дисциплины Описание,Карточка клиента (внешний источник).Индекс платежной дисциплины Значение,Карточка клиента (внешний источник).Индекс финансового риска Описание,Карточка клиента (внешний источник).Индекс финансового риска Значение,Госконтракты.Контракт,Госконтракты.Тип контракта
0,3043,0,2,697362380,80,2361,1,182,71,0,0,0,1,90,0,93,14438,1
1,3043,0,2,697362380,80,2361,2,182,71,0,0,0,1,90,0,93,14438,1
2,3043,0,2,697362380,80,2361,50,182,71,0,0,0,1,90,0,93,14438,1
3,3043,0,2,697362380,80,2361,69,182,71,0,0,0,1,90,0,93,14438,1
4,3044,0,1,697362380,144,55664,205,67,163,0,0,0,1,90,1,18,8261,0
5,3045,1,2,697362380,179,4120,205,170,71,0,0,0,1,90,3,40,8261,0
6,3045,1,2,697362380,179,4120,1,170,71,0,0,0,1,90,3,40,8261,0
7,3046,1,2,10000,204,4690,6,170,71,0,0,0,1,90,3,36,1320,1
8,3046,1,2,10000,204,4690,6,170,71,0,0,0,1,90,3,36,7371,1
9,3046,1,2,10000,204,4690,6,170,71,0,0,0,1,90,3,36,10189,1
10,3046,1,2,10000,204,4690,6,170,71,0,0,0,1,90,3,36,10224,1
11,3046,1,2,10000,204,4690,6,170,71,0,0,0,1,90,3,36,10950,1
12,3046,1,2,10000,204,4690,6,170,71,0,0,0,1,90,3,36,13680,1
13,3046,1,2,10000,204,4690,7,170,71,0,0,0,1,90,3,36,1320,1
14,3046,1,2,10000,204,4690,7,170,71,0,0,0,1,90,3,36,7371,1
15,3046,1,2,10000,204,4690,7,170,71,0,0,0,1,90,3,36,10189,1
16,3046,1,2,10000,204,4690,7,170,71,0,0,0,1,90,3,36,10224,1
17,3046,1,2,10000,204,4690,7,170,71,0,0,0,1,90,3,36,10950,1
18,3046,1,2,10000,204,4690,7,170,71,0,0,0,1,90,3,36,13680,1
19,3046,1,2,10000,204,4690,9,170,71,0,0,0,1,90,3,36,1320,1
20,3046,1,2,10000,204,4690,9,170,71,0,0,0,1,90,3,36,7371,1
21,3046,1,2,10000,204,4690,9,170,71,0,0,0,1,90,3,36,10189,1
22,3046,1,2,10000,204,4690,9,170,71,0,0,0,1,90,3,36,10224,1
23,3046,1,2,10000,204,4690,9,170,71,0,0,0,1,90,3,36,10950,1
24,3046,1,2,10000,204,4690,9,170,71,0,0,0,1,90,3,36,13680,1
25,3046,1,2,10000,204,4690,13,170,71,0,0,0,1,90,3,36,1320,1
26,3046,1,2,10000,204,4690,13,170,71,0,0,0,1,90,3,36,7371,1
27,3046,1,2,10000,204,4690,13,170,71,0,0,0,1,90,3,36,10189,1
28,3046,1,2,10000,204,4690,13,170,71,0,0,0,1,90,3,36,10224,1
29,3046,1,2,10000,204,4690,13,170,71,0,0,0,1,90,3,36,10950,1
30,3046,1,2,10000,204,4690,13,170,71,0,0,0,1,90,3,36,13680,1
31,3047,1,3,100048,85,2332,176,182,71,1,1,1,1,80,3,49,8835,1
32,3047,1,3,100048,85,2332,177,182,71,1,1,1,1,80,3,49,8835,1
33,3047,1,3,100048,85,2332,186,182,71,1,1,1,1,80,3,49,8835,1
34,3047,1,3,100048,85,2332,206,182,71,1,1,1,1,80,3,49,8835,1
35,3047,1,3,100048,85,2332,210,182,71,1,1,1,1,80,3,49,8835,1
36,3047,1,3,100048,85,2332,229,182,71,1,1,1,1,80,3,49,8835,1
37,3047,1,3,100048,85,2332,235,182,71,1,1,1,1,80,3,49,8835,1
38,3048,0,1,697362380,144,55664,205,182,228,0,0,0,1,90,1,18,8261,0
39,3049,0,0,33911220,134,20595,188,182,71,1,1,1,1,97,2,14,11009,1
40,3049,0,0,33911220,134,20595,188,182,71,1,1,1,1,97,2,14,12012,1
41,3049,0,0,33911220,134,20595,206,182,71,1,1,1,1,97,2,14,11009,1
42,3049,0,0,33911220,134,20595,206,182,71,1,1,1,1,97,2,14,12012,1
43,3049,0,0,33911220,134,20595,207,182,71,1,1,1,1,97,2,14,11009,1
44,3049,0,0,33911220,134,20595,207,182,71,1,1,1,1,97,2,14,12012,1
45,3049,0,0,33911220,134,20595,209,182,71,1,1,1,1,97,2,14,11009,1
46,3049,0,0,33911220,134,20595,209,182,71,1,1,1,1,97,2,14,12012,1
47,3049,0,0,33911220,134,20595,214,182,71,1,1,1,1,97,2,14,11009,1
48,3049,0,0,33911220,134,20595,214,182,71,1,1,1,1,97,2,14,12012,1
49,3049,0,0,33911220,134,20595,216,182,71,1,1,1,1,97,2,14,11009,1
50,3049,0,0,33911220,134,20595,216,182,71,1,1,1,1,97,2,14,12012,1
51,3050,0,1,697362380,28,8424,205,170,71,0,0,0,1,81,1,18,909,0
52,3050,0,1,697362380,28,8424,205,170,71,0,0,0,1,81,1,18,919,0
53,3050,0,1,697362380,28,8424,205,170,71,0,0,0,1,81,1,18,228,0
54,3050,0,1,697362380,28,8424,205,170,71,0,0,0,1,81,1,18,875,0
55,3050,0,1,697362380,28,8424,205,170,71,0,0,0,1,81,1,18,969,0
56,3050,0,1,697362380,28,8424,205,170,71,0,0,0,1,81,1,18,1010,0
57,3050,0,1,697362380,28,8424,205,170,71,0,0,0,1,81,1,18,1011,0
