ID;Находится в реестре МСП;Размер компании.Наименование;Размер уставного капитала объявленный;ОКВЭД2.Наименование;ОКВЭД2.Код;Численность персонала по данным ФНС.Количество;Город фактический;Город юридический;ЕЛС действующий;Грузоотправитель;Грузополучатель;Карточка клиента (внешний источник).Индекс платежной дисциплины Описание;Карточка клиента (внешний источник).Индекс платежной дисциплины Значение;Карточка клиента (внешний источник).Индекс финансового риска Описание;Карточка клиента (внешний источник).Индекс финансового риска Значение;Госконтракты.Контракт;Госконтракты.Тип контракта
4968;Нет;;;;;;ЙОШКАР-ОЛА;ЙОШКАР-ОЛА;;Нет;Нет;;;;;;
4969;Нет;;;;;;Г.ЙОШКАР-ОЛА;;;Нет;Нет;;;;;;
4970;Нет;;;;;;Йошкар-Ола;;;Нет;Нет;;;;;;
4971;Нет;;;;;;Нолька;МЕДВЕДЕВО;;Нет;Нет;;;;;;
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;"ВИК-НТ мебельная ""Shiraz""";Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;ВИК-ТР одежная/213ср/(Ц:501, Т:RUSTBSC200);Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;"Винилискожа мебельная, ВИК-ТР мебельная ""Эврика"" /207 ср/ (Ц: 24, Т: 60, О: 01)";Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;Волжанка ВИД-5НТ;Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;Искожа Волжанка Вид 4-ТР;Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;"Искожа Волжанка Вид 4-ТР ""Медиа"" /213 ср/ (Ц: 501, Т; PetaloDoll)";Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;"Искожа Волжанка Вид 4-ТР ""Медиа""/ 111 ч. узк./ (Ц:501, Т% Petalodoll)";Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;"Искожа Волжанка Вид 4-ТР ""Медиа""/213 ср (Ц:501, Т:PetaloDollaro)";Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;"Искожа Волжанка Вид 4-ТР ""Медиа""/213 ср./ (Ц:501, Т: PetaloDoll)";Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;Кожа искусственная одежная Винилискожа-ТР Вид В\213 ср\(Ц:501,Т: RUSTBSC200);Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;Поставка пленки ПВХ для покрытия теплоизоляции;Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;266;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;Ткани;Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;271;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;"ВИК-НТ мебельная ""Shiraz""";Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;271;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;ВИК-ТР одежная/213ср/(Ц:501, Т:RUSTBSC200);Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;271;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;"Винилискожа мебельная, ВИК-ТР мебельная ""Эврика"" /207 ср/ (Ц: 24, Т: 60, О: 01)";Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;271;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;Волжанка ВИД-5НТ;Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;271;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;Искожа Волжанка Вид 4-ТР;Исполнитель
4972;Да;Средний бизнес;;Производство текстильных материалов, пропитанных или с покрытием;13.96.4;271;г.Йошкар-Ола;г. Йошкар-Ола;1000820432;Нет;Да;;;Низкий риск;7;"Искожа Волжанка Вид 4-ТР ""Медиа"" /213 ср/ (Ц: 501, Т; PetaloDoll)";Исполнитель
