,ID,Находится в реестре МСП,Размер компании.Наименование,Размер уставного капитала объявленный,ОКВЭД2.Наименование,ОКВЭД2.Код,Численность персонала по данным ФНС.Количество,Город фактический,Город юридический,ЕЛС действующий,Грузоотправитель,Грузополучатель,Карточка клиента (внешний источник).Индекс платежной дисциплины Описание,Карточка клиента (внешний источник).Индекс платежной дисциплины Значение,Карточка клиента (внешний источник).Индекс финансового риска Описание,Карточка клиента (внешний источник).Индекс финансового риска Значение,Госконтракты.Контракт,Госконтракты.Тип контракта
0,5278,0,1,103810080,95,74116,262,220,236,0,0,0,1,90,1,29,6241,0
1,5279,0,1,103810080,95,74116,262,205,114,0,0,0,1,90,1,29,6241,0
2,5280,0,1,103810080,95,74116,262,220,236,0,0,0,1,90,1,29,6241,0
3,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,603,0
4,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,745,0
5,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1145,0
6,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1201,0
7,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1417,0
8,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1418,0
9,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1427,0
10,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1436,0
11,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1449,0
12,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1450,0
13,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1497,0
14,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1543,0
15,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1548,0
16,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1649,0
17,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1675,0
18,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1681,0
19,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1693,0
20,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1694,0
21,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1792,0
22,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1836,0
23,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1843,0
24,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1845,0
25,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1847,0
26,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1848,0
27,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1849,0
28,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1850,0
29,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1851,0
30,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1853,0
31,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1891,0
32,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1919,0
33,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1920,0
34,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1922,0
35,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1923,0
36,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1924,0
37,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1989,0
38,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,1990,0
39,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2001,0
40,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2121,0
41,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2168,0
42,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2258,0
43,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2285,0
44,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2292,0
45,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2293,0
46,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2294,0
47,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2324,0
48,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2478,0
49,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2516,0
50,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2517,0
51,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2518,0
52,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2519,0
53,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2613,0
54,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2655,0
55,5281,0,1,103810080,22,84113,262,196,160,0,0,0,1,90,1,29,2656,0
